,s_t,vix_t,r_t,sigma_t,sigma_21d_t,sigma_63d_t,ret_5d_t,ret_21d_t,vix_ret_5d_t,vix_ret_21d_t,rate_mom_21d_t,sentiment_proxy,moneyness_t,bsm_price
s_t,1.0,-0.39583160701088904,-0.47936112259343083,-0.24254222276411105,-0.41589085508265117,-0.46100530511717736,0.10267355782989891,0.20898344104827185,-0.03510514867245779,-0.16198649651002345,-0.13708535222549348,0.33092248868605084,1.0000000000000004,-0.5648129932569412
vix_t,-0.39583160701088904,1.0,0.49502074904306764,0.44627890847093277,0.7981234677830332,0.6648439738234904,-0.26459141018973464,-0.4708758499865397,0.27907459986612915,0.6164952181035023,0.2878292613228095,-0.7169292045140062,-0.39583160701088926,-0.09798822186830068
r_t,-0.47936112259343083,0.49502074904306764,1.0,0.7646403121635464,0.5585876999990459,0.6682149310221162,0.04389431065777244,0.019871192933163074,-0.023767535977929733,0.07094858718564395,0.2929756710957629,-0.061376589601151554,-0.4793611225934311,-0.1938852607700203
sigma_t,-0.24254222276411105,0.44627890847093277,0.7646403121635464,1.0,0.4376518115647636,0.6205159653340085,0.1123803364224657,0.17856124858707823,-0.06542539636888549,-0.048604559815869294,-0.11711427087372522,0.08374816016647572,-0.2425422227641119,-0.129127937638519
sigma_21d_t,-0.41589085508265117,0.7981234677830332,0.5585876999990459,0.4376518115647636,1.0,0.8034838788620441,-0.01641254909342909,-0.28847986969577066,-0.04691145362998622,0.32403883535217776,0.30484956599360113,-0.40263559379392466,-0.41589085508265156,-0.12500363077386414
sigma_63d_t,-0.46100530511717736,0.6648439738234904,0.6682149310221162,0.6205159653340085,0.8034838788620441,1.0,0.0359870152268816,-0.07771963395986368,-0.0686158658856124,0.06390394853878778,0.10935430812867457,-0.24167885821905194,-0.4610053051171782,-0.16970514125386185
ret_5d_t,0.10267355782989891,-0.26459141018973464,0.04389431065777244,0.1123803364224657,-0.01641254909342909,0.0359870152268816,1.0,0.4311727769214803,-0.5566576671473048,-0.3902023535776062,-0.11046932230543798,0.34429825283404736,0.10267355782989877,-0.002447151424575449
ret_21d_t,0.20898344104827185,-0.4708758499865397,0.019871192933163074,0.17856124858707823,-0.28847986969577066,-0.07771963395986368,0.4311727769214803,1.0,-0.1794901705459442,-0.6177826544336624,-0.29480475416038515,0.5196092524542271,0.20898344104827143,0.014786559611972927
vix_ret_5d_t,-0.03510514867245779,0.27907459986612915,-0.023767535977929733,-0.06542539636888549,-0.04691145362998622,-0.0686158658856124,-0.5566576671473048,-0.1794901705459442,1.0,0.45093670548528725,0.04253154593090673,-0.391004241922356,-0.03510514867245782,0.03943100516736919
vix_ret_21d_t,-0.16198649651002345,0.6164952181035023,0.07094858718564395,-0.048604559815869294,0.32403883535217776,0.06390394853878778,-0.3902023535776062,-0.6177826544336624,0.45093670548528725,1.0,0.29778989428385205,-0.5534965913719103,-0.16198649651002392,0.05673026958147969
rate_mom_21d_t,-0.13708535222549348,0.2878292613228095,0.2929756710957629,-0.11711427087372522,0.30484956599360113,0.10935430812867457,-0.11046932230543798,-0.29480475416038515,0.04253154593090673,0.29778989428385205,1.0,-0.19934095518983225,-0.13708535222549334,-0.20580818350830923
sentiment_proxy,0.33092248868605084,-0.7169292045140062,-0.061376589601151554,0.08374816016647572,-0.40263559379392466,-0.24167885821905194,0.34429825283404736,0.5196092524542271,-0.391004241922356,-0.5534965913719103,-0.19934095518983225,1.0,0.3309224886860502,-0.12027403626048419
moneyness_t,1.0000000000000004,-0.39583160701088926,-0.4793611225934311,-0.2425422227641119,-0.41589085508265156,-0.4610053051171782,0.10267355782989877,0.20898344104827143,-0.03510514867245782,-0.16198649651002392,-0.13708535222549334,0.3309224886860502,1.0,-0.5648129932569398
bsm_price,-0.5648129932569412,-0.09798822186830068,-0.1938852607700203,-0.129127937638519,-0.12500363077386414,-0.16970514125386185,-0.002447151424575449,0.014786559611972927,0.03943100516736919,0.05673026958147969,-0.20580818350830923,-0.12027403626048419,-0.5648129932569398,1.0
