feature,vif,r2_others
vix_t,21.928452608147484,0.9543971470367931
sigma_t,9.260728028943179,0.8920171290124672
r_t,8.410274575970774,0.88109781779811
sigma_21d_t,6.599735701877845,0.8484787807918631
s_t,6.241909005763833,0.8397926020586665
sentiment_proxy,5.948000543314522,0.831876276285148
sigma_63d_t,5.537826945008118,0.8194237541313176
bsm_price,4.492961357352136,0.7774296459586432
vix_ret_21d_t,3.837415055312109,0.7394079124655264
ret_21d_t,2.3823224280591626,0.5802415373242811
rate_mom_21d_t,2.083220887611804,0.5199740911073545
vix_ret_5d_t,2.0248962804120496,0.5061475446058361
ret_5d_t,1.7871766375076217,0.44045821827964926
